cseq,mapX,mapY,useyn
2446,126.4007982,37.6391609,y
2447,128.6638831,37.4735426,y
2448,127.5355585,37.7531849,y
2449,128.9801761,35.5797474,y
2450,128.7483181,35.6118418,y
2451,128.0546124,37.4400428,y
2452,127.7414757,34.7781896,y
2453,127.4048613,37.7145782,y
2454,126.991175,35.3868598,y
2455,128.0454132,37.4081447,y
2456,127.0361375,36.6744096,y
2457,127.4474549,37.745918,y
2458,127.7178084,37.9339721,y
2459,128.8936263,35.5629302,y
2460,127.5417531,37.2322552,y
2461,126.9335616,37.7753575,y
2462,128.318727,37.3116113,y
2463,127.2414153,35.8940913,y
2464,126.7271089,35.3185337,y
2465,126.7475848,36.2535899,y
2466,127.538741,37.8879007,y
2467,127.7872082,37.690326,y
2468,127.850676,37.6401637,y
2469,128.0306376,37.8008851,y
2470,127.4182002,38.2478724,y
2471,128.0343107,37.6467049,y
2472,126.1531769,36.8351917,y
2473,128.7853775,37.3288968,y
2474,128.5649672,35.5419122,y
2475,128.850206,35.644024,y
2476,126.1537895,36.8354752,y
2477,127.7240959,38.1187675,y
2478,127.8596535,38.1570491,y
2479,127.1586925,37.5864147,y
2480,128.0036224,35.4819189,y
2481,129.3289857,35.58846,y
2482,128.9876945,35.3013757,y
2483,128.0284674,36.4527077,y
2484,128.2735785,37.3717342,y
2485,128.0453687,37.208693,y
2486,127.1024908,35.476333,y
2487,128.1256866,37.6699973,y
2488,128.0579059,37.5947039,y
2489,128.2230161,37.6022615,y
2490,127.8930241,37.4708557,y
2491,128.6826743,37.1036128,y
2492,127.0993871,37.7845463,y
2493,127.9410435,35.8787838,y
2494,128.3261184,38.1930849,y
2495,127.6200504,37.6432921,y
2496,126.7282871,35.3169128,y
2497,128.369922,34.937322,y
2498,127.6306998,35.1848235,y
2499,128.8703639,35.6000451,y
2500,127.5900563,35.4494796,y
2501,128.3135726,37.6518298,y
2502,128.3238801,37.6500133,y
2503,126.668596,36.1167199,y
2504,126.6641472,36.1126287,y
2505,128.2733941,37.363858,y
2506,128.367996,36.1311328,y
2507,127.9059162,37.5142324,y
2508,126.8923617,37.9959028,y
2509,127.6415937,37.9294306,y
2510,127.3068406,35.9597889,y
2511,127.7739019,35.1812443,y
2512,127.4323782,36.820146,y
2513,128.2927459,37.2493721,y
2514,127.0529197,37.351452,y
2515,129.4671222,36.7527154,y
2516,126.2683706,36.683579,y
2517,129.2904522,37.0626254,y
2518,126.4347866,35.4421056,y
2519,127.3751278,37.6738717,y
2520,128.9229496,35.5367912,y
2521,127.7757384,35.8956261,y
2522,127.019287,38.1349255,y
2523,128.5745045,37.4249326,y
2524,129.2332593,36.7454151,y
2525,129.2993868,37.2373646,y
2526,126.6589953,34.9148888,y
2527,128.0170286,34.7517334,y
2528,128.5760528,37.5597958,y
2529,127.1806653,38.2201219,y
2530,128.5122647,37.9488231,y
2531,128.4638393,37.8603759,y
2532,127.7606727,38.0141083,y
2533,127.4838359,37.5817426,y
2534,128.2941943,37.5247544,y
2535,127.642338,35.3470909,y
